BREAKING   1028022611324747776.hashtags   2.14823020002643221050   .02585315408479834539   .01203462928902137375   50   1934   759   63068 
SARSCoV2   1028022611324747776.hashtags   3.62334827071124899217   .00361944157187176835   .00099892179869347371   7   1934   63   63068 
COVID19   1028022611324747776.hashtags   1.80862930487603521251   .03412616339193381592   .01886852286421005898   66   1934   1190   63068 
Belarus   1028022611324747776.hashtags   1.02979371904424971424   .00310237849017580144   .00301262129764698420   6   1934   190   63068 
HateWontWin   1028022611324747776.hashtags   3.26101344364012420460   .00051706308169596690   .00015855901566563074   1   1934   10   63068 
Ottawa   1028022611324747776.hashtags   .25677271209764756528   .00103412616339193381   .00402739899790702099   2   1934   254   63068 
OttawaOccupation   1028022611324747776.hashtags   2.03813340227507757967   .00051706308169596690   .00025369442506500919   1   1934   16   63068 
BA2   1028022611324747776.hashtags   5.88261248656649837777   .02378490175801447776   .00404325489947358406   46   1934   255   63068 
Covid19   1028022611324747776.hashtags   .51762118153017842697   .00155118924508790072   .00299676539608042113   3   1934   189   63068 
COVID19   1028022611324747776.hashtags   1.80862930487603521251   .03412616339193381592   .01886852286421005898   66   1934   1190   63068 
UkraineGenocide   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
PutinAtrocities   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
IP   1028022611324747776.hashtags   .56878141458839373642   .00155118924508790072   .00272721506944884886   3   1934   172   63068 
Ukraine   1028022611324747776.hashtags   1.18744543411858865172   .08945191313340227507   .07533138834274116826   173   1934   4751   63068 
Afghanistan   1028022611324747776.hashtags   .55271414298985153410   .00051706308169596690   .00093549819242722141   1   1934   59   63068 
ICYMI   1028022611324747776.hashtags   2.10387964105814459999   .00103412616339193381   .00049153294856345531   2   1934   31   63068 
FollowMeDon   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
LongCovid   1028022611324747776.hashtags   .58784872323683451438   .00982419855222337125   .01671212025115748081   19   1934   1054   63068 
LongCovid   1028022611324747776.hashtags   .58784872323683451438   .00982419855222337125   .01671212025115748081   19   1934   1054   63068 
BA4   1028022611324747776.hashtags   12.22880041365046611775   .00155118924508790072   .00012684721253250459   3   1934   8   63068 
BA5   1028022611324747776.hashtags   10.87004481213374791083   .00103412616339193381   .00009513540939937844   2   1934   6   63068 
BA2   1028022611324747776.hashtags   5.88261248656649837777   .02378490175801447776   .00404325489947358406   46   1934   255   63068 
BA4   1028022611324747776.hashtags   12.22880041365046611775   .00155118924508790072   .00012684721253250459   3   1934   8   63068 
BA2   1028022611324747776.hashtags   5.88261248656649837777   .02378490175801447776   .00404325489947358406   46   1934   255   63068 
COVID19   1028022611324747776.hashtags   1.80862930487603521251   .03412616339193381592   .01886852286421005898   66   1934   1190   63068 
LongCovid   1028022611324747776.hashtags   .58784872323683451438   .00982419855222337125   .01671212025115748081   19   1934   1054   63068 
COVID19   1028022611324747776.hashtags   1.80862930487603521251   .03412616339193381592   .01886852286421005898   66   1934   1190   63068 
LongCovid   1028022611324747776.hashtags   .58784872323683451438   .00982419855222337125   .01671212025115748081   19   1934   1054   63068 
WearAMask   1028022611324747776.hashtags   3.49394297532870440832   .00155118924508790072   .00044396524386376609   3   1934   28   63068 
GetVaccinated   1028022611324747776.hashtags   2.50847187972317236772   .00051706308169596690   .00020612672036531997   1   1934   13   63068 
GetBoosted   1028022611324747776.hashtags   5.43502240606687390285   .00051706308169596690   .00009513540939937844   1   1934   6   63068 
scicomm   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
globalhealth   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
HIV   1028022611324747776.hashtags   1.25423593986158618386   .00051706308169596690   .00041225344073063994   1   1934   26   63068 
TB   1028022611324747776.hashtags   .24518898072482135737   .00051706308169596690   .00210883490835288894   1   1934   133   63068 
malaria   1028022611324747776.hashtags   5.43502240606687390285   .00051706308169596690   .00009513540939937844   1   1934   6   63068 
NTDs   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
polio   1028022611324747776.hashtags   2.50847187972317236772   .00051706308169596690   .00020612672036531997   1   1934   13   63068 
TxBioGHS2022   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
StandWithUkraine   1028022611324747776.hashtags   2.28362285969196365254   .01292657704239917269   .00566055685926301769   25   1934   357   63068 
TeamPatriot   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
FreeSpeech   1028022611324747776.hashtags   5.43502240606687390285   .00051706308169596690   .00009513540939937844   1   1934   6   63068 
Transnistria   1028022611324747776.hashtags   8.15253360910031071888   .00103412616339193381   .00012684721253250459   2   1934   8   63068 
Tiraspol   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
Transnistria   1028022611324747776.hashtags   8.15253360910031071888   .00103412616339193381   .00012684721253250459   2   1934   8   63068 
JillsPin   1028022611324747776.hashtags   32.61013443640125058801   .00103412616339193381   .00003171180313312614   2   1934   2   63068 
OnTheIssuesPod   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
PeckishPig   1028022611324747776.hashtags   32.61013443640125027267   .00051706308169596690   .00001585590156656307   1   1934   1   63068 
